,Date,Tweet_id,Verified,Tweet,User,Location,Source,Likes,Followers,Following,Retweets
0,2020-07-21 08:20:35,1285489838054154242,False,"Hello potentially beautiful 🌍 

9.20am London
4.20am NY

#ElonMusk
#KanyeWest 

#MentalHealthAwareness ❤️👊🏼🐅🙏 https://t.co/BwOvwwq6fD",georginafresh,London to Brighton ,Twitter for iPad,0,30,691,0
1,2020-07-21 08:20:27,1285489803421614082,False,Is nobody suspicious about this reference of child sex trafficking??? #kanye #KanyeWest #kanyeneedshelp #elites https://t.co/Tq51hRWOFh,reachnirvanaFTP,,Twitter for iPhone,0,36,52,0
2,2020-07-21 08:20:21,1285489782022443008,False,"The First Family? 
#TheWestFamily #KanyeWest https://t.co/Uy47Mep96e",MakhayaTheCrib,Africa,Twitter for Android,0,1294,234,0
3,2020-07-21 08:20:08,1285489726275956737,False,"RT @iampntdxtr: I’M AICK AND TIRED OF BELIEVERS AND NON BELIEVERS ALIKE JUDGING THIS MAN 
#PrayForYe #KanyeWest #HOLLYWOODPEDO #pizzagatels…",TOP5TOP5TOP,tellallmyoldhoesdonthitmyphone,Twitter Web App,0,904,899,1
4,2020-07-21 08:20:06,1285489718419959823,False,"RT @Styx666Official: https://t.co/Ogu546VlfH

Kanye West stages a bizarre rally, which nonetheless is still far more coherent than any Bide…",Shail67330119,,Twitter for iPhone,0,770,57,11
5,2020-07-21 08:20:04,1285489706965368833,False,"RT @PM302: After seeing in real time the @kanyewest tweets, these words Dave Cheppelle spoke on Inside The Actors Studio couldn’t be more a…",thuli_xci,,Twitter for iPhone,0,381,195,228
6,2020-07-21 08:19:41,1285489614296244224,False,"I’M AICK AND TIRED OF BELIEVERS AND NON BELIEVERS ALIKE JUDGING THIS MAN 
#PrayForYe #KanyeWest #HOLLYWOODPEDO… https://t.co/bYtXI5AmGx",iampntdxtr,The Stranger Side Of Youtube,Twitter for iPhone,0,464,114,1
7,2020-07-21 08:19:41,1285489611200962561,False,RT @treymarley22: Rob Kardashian: Running to stop #KanyeWest from tweeting about the Kardashian’s💀 https://t.co/UsakLbv4FJ,TMmutsiemang,"Gaborone ,Botswana ",Twitter for Android,0,80,381,8
8,2020-07-21 08:19:37,1285489597196242944,False,I don’t get how anyone can comment on a relationship they aren’t part of anyway but unless you have lived with some… https://t.co/jTqp2twpG4,carron_c,,Twitter for iPhone,0,111,755,0
9,2020-07-21 08:19:26,1285489550878552064,False,RT @DailyNe25683877: Kriss Jenner trying to hack Kanye’s twitter so she can delete the tweets... 👀 #KanyeWest #KrisJenner #KimKardashian ht…,xyosoylupi,grove street,Twitter Web App,0,3184,3844,44
10,2020-07-21 08:19:17,1285489511515017225,False,RT @CaleJ11: Kanye West getting mad at his first campaign event LOL #KanyeWest #kanye2020 https://t.co/Kmsxlm2tzG,loer15848059,,Twitter for Android,0,0,23,97
11,2020-07-21 08:19:12,1285489490434363393,False,"RT @pinkvilla: ""Personal opinions about someone aside, a manic episode isn't a joke,"" #Halsey tweets in regards to #KanyeWest's recent Twit…",SweetAnette96,,Twitter for iPhone,0,89,1287,2
12,2020-07-21 08:18:57,1285489426106376195,False,RT @DailyNe25683877: Kriss Jenner trying to hack Kanye’s twitter so she can delete the tweets... 👀 #KanyeWest #KrisJenner #KimKardashian ht…,its_rosss,"Rome, Lazio",Twitter for iPhone,0,52,193,44
13,2020-07-21 08:18:55,1285489420590886914,False,"Kanye West needs to get help. He needs to shut the fuck up and admit it, for once Kris and Kim are right, he needs a doctor. #KanyeWest",sarah012k,,Twitter for iPhone,0,10,79,0
14,2020-07-21 08:18:46,1285489380539469831,False,RT @thestevecaliss1: Wouldn’t surprise me if it was just a series of dog barks and ghoulish screams at this point #ye #KanyeWest #kanye2020,calismedia,"Yeovil, England",Twitter for iPhone,0,174,468,3
15,2020-07-21 08:18:40,1285489355361079297,False,RT @DailyNe25683877: Kriss Jenner trying to hack Kanye’s twitter so she can delete the tweets... 👀 #KanyeWest #KrisJenner #KimKardashian ht…,TMmutsiemang,"Gaborone ,Botswana ",Twitter for Android,0,80,381,44
